t,p1,p2,v1,a1,v2,a2,
8.5,0.243,0.271,0.023,0.082,0.077,-0.12,
8.55,0.244,0.274,0.024,0.077,0.069,-0.156,
8.6,0.245,0.278,0.029,0.099,0.06,-0.172,
8.65,0.247,0.28,0.037,0.082,0.051,-0.17,
8.7,0.249,0.283,0.039,0.03,0.044,-0.187,
8.75,0.251,0.285,0.038,-0.001,0.034,-0.229,
8.8,0.253,0.286,0.038,-0.009,0.02,-0.245,
8.85,0.255,0.287,0.038,-0.016,0.008,-0.233,
8.9,0.257,0.287,0.037,-0.036,-0.003,-0.228,
8.95,0.259,0.287,0.033,-0.044,-0.014,-0.233,
9.0,0.26,0.286,0.032,-0.045,-0.027,-0.228,
9.05,0.262,0.284,0.031,-0.083,-0.038,-0.211,
9.1,0.263,0.282,0.024,-0.11,-0.048,-0.191,
9.15,0.264,0.279,0.018,-0.104,-0.057,-0.162,
9.2,0.265,0.276,0.013,-0.098,-0.064,-0.133,
9.25,0.265,0.273,0.008,-0.097,-0.071,-0.098,
9.3,0.266,0.269,0.004,-0.096,-0.074,-0.053,
9.35,0.266,0.265,-0.001,-0.092,-0.075,-0.019,
9.4,0.266,0.261,-0.006,-0.091,-0.075,0.005,
9.45,0.265,0.258,-0.01,-0.09,-0.075,0.037,
9.5,0.265,0.254,-0.015,-0.081,-0.073,0.096,
9.55,0.264,0.25,-0.019,-0.069,-0.066,0.167,
9.6,0.263,0.247,-0.022,-0.058,-0.055,0.208,
9.65,0.262,0.245,-0.024,-0.056,-0.043,0.206,
9.7,0.261,0.243,-0.028,-0.045,-0.035,0.208,
9.75,0.259,0.241,-0.029,-0.011,-0.024,0.237,
9.8,0.257,0.24,-0.028,0.011,-0.011,0.258,
9.85,0.256,0.24,-0.028,0.025,0.003,0.259,
9.9,0.255,0.24,-0.025,0.03,0.016,0.25,
9.95,0.253,0.241,-0.025,0.035,0.028,0.235,
10.0,0.252,0.243,-0.023,0.056,0.04,0.192,
10.05,0.251,0.246,-0.018,0.064,0.048,0.136,
10.1,0.25,0.248,-0.016,0.067,0.052,0.11,
10.15,0.249,0.251,-0.012,0.073,0.058,0.109,
10.2,0.249,0.254,-0.008,0.068,0.064,0.095,
10.25,0.249,0.257,-0.006,0.074,0.068,0.056,
10.3,0.248,0.261,-0.002,0.095,0.069,0.02,
10.35,0.248,0.264,0.005,0.087,0.07,-0.011,
10.4,0.249,0.268,0.009,0.049,0.069,-0.061,
10.45,0.249,0.271,0.01,0.021,0.064,-0.103,
10.5,0.25,0.274,0.009,0.029,0.057,-0.118,
10.55,0.25,0.277,0.012,0.054,0.052,-0.136,
10.6,0.251,0.28,0.016,0.044,0.044,-0.163,
10.65,0.252,0.282,0.017,0.012,0.036,-0.197,
10.7,0.253,0.283,0.017,-0.008,0.024,-0.222,
10.75,0.254,0.284,0.016,-0.014,0.013,-0.225,
10.8,0.254,0.285,0.015,-0.006,0.002,-0.227,
10.85,0.255,0.284,0.015,-0.003,-0.01,-0.221,
10.9,0.256,0.283,0.016,-0.019,-0.02,-0.205,
10.95,0.257,0.282,0.013,-0.032,-0.03,-0.201,
11.0,0.257,0.28,0.012,-0.039,-0.041,-0.184,
11.05,0.258,0.278,0.01,-0.061,-0.049,-0.153,
11.1,0.258,0.275,0.005,-0.074,-0.056,-0.123,
11.15,0.258,0.272,0.001,-0.059,-0.062,-0.085,
11.2,0.258,0.269,-0.001,-0.037,-0.065,-0.047,
11.25,0.258,0.266,-0.001,-0.034,-0.066,-0.017,
11.3,0.258,0.262,-0.004,-0.041,-0.066,0.008,
11.35,0.258,0.259,-0.006,-0.034,-0.065,0.028,
11.4,0.258,0.256,-0.008,-0.015,-0.063,0.05,
11.45,0.257,0.253,-0.007,0.003,-0.061,0.09,
11.5,0.257,0.25,-0.007,0.018,-0.055,0.136,
11.55,0.256,0.247,-0.006,0.028,-0.047,0.169,
11.6,0.256,0.245,-0.002,0.002,-0.037,0.192,
11.65,0.256,0.244,-0.006,-0.015,-0.027,0.194,
11.7,0.256,0.242,-0.007,0.024,-0.018,0.197,
11.75,0.255,0.242,-0.003,0.06,-0.008,0.21,
